reg_dt,Minor-1,,reg_dt,Minor-4,,reg_dt,Minor-5,,reg_dt,Minor-8,,reg_dt,Minor-9,,reg_dt,Minor-12,,reg_dt,Minor-13,,reg_dt,Minor-16,,reg_dt,Minor-17,,reg_dt,Minor-20
11:49.4,234.75,,11:51.0,760.25,,11:53.1,51,,11:58.3,14.5,,11:59.8,96.75,,12:02.7,13.5,,12:05.3,12.75,,12:05.6,13.5,,12:06.1,81.75,,12:07.7,96
11:49.7,917.25,,11:51.3,872.75,,11:53.4,625.5,,11:58.0,17.25,,11:59.6,711,,12:02.4,28.25,,12:05.0,13,,12:05.3,16.25,,12:05.8,567,,12:07.4,519.75
11:50.0,932.75,,11:51.6,912.5,,11:53.7,779.5,,11:57.7,73,,11:59.4,761.5,,12:02.1,33.25,,12:04.7,13.5,,12:05.0,22.5,,12:05.5,608.75,,12:07.1,499.5
11:50.3,921.75,,11:51.9,996.25,,11:54.0,756.75,,11:57.4,650.25,,11:58.7,823,,12:01.8,37.5,,12:04.4,13.5,,12:04.7,65.75,,12:04.8,530.75,,12:06.8,527.5
11:50.6,901,,11:52.2,999,,11:54.3,811.25,,11:57.1,853.75,,11:58.4,761,,12:01.5,44.5,,12:04.1,14.5,,12:04.4,653.75,,12:04.5,305.75,,12:06.5,578.75
11:51.0,505.75,,11:52.5,968.5,,11:54.6,764.25,,11:56.8,812,,11:58.1,738.25,,12:01.2,99.25,,12:03.8,28.5,,12:04.1,736,,,,,12:06.1,553.25
11:51.3,38.75,,11:52.9,945.25,,11:54.9,849.5,,11:56.5,976.5,,11:57.8,790.75,,12:00.9,610.5,,12:03.4,35.25,,12:03.8,793.5,,,,,12:05.8,25
11:51.6,28.5,,11:53.2,866.25,,11:55.2,843.75,,11:56.2,897.25,,11:57.5,594.75,,12:00.6,740,,12:03.1,44.75,,12:03.4,826.5,,,,,12:05.5,14.5
,,,11:53.5,388.25,,11:55.6,102,,11:55.9,826.75,,11:57.2,12.75,,12:00.4,732.25,,12:02.8,334.25,,12:03.1,690.25,,,,,12:04.8,15
,,,11:53.8,101.5,,11:55.9,14.75,,11:55.6,800.25,,,,,12:00.0,742.5,,12:02.5,662.75,,12:02.8,676.5,,,,,12:03.9,12.75
,,,11:54.1,139.75,,11:56.2,12.75,,11:55.2,380,,,,,11:59.8,744.5,,12:02.2,745.5,,,,,,,,,
,,,,,,11:56.8,13.75,,,,,,,,11:59.6,297.75,,12:01.9,749.25,,,,,,,,,
,,,,,,,,,,,,,,,11:59.4,13.5,,12:01.6,733,,,,,,,,,
,,,,,,,,,,,,,,,11:58.1,13.75,,12:01.3,725.75,,,,,,,,,
,,,,,,,,,,,,,,,11:57.8,13,,12:01.0,573.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,12:00.7,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,12:00.3,13.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,12:00.0,14.5,,,,,,,,,
